地区,年份,人口出生率(‰),地方财政教育支出(亿元),全体居民人均消费支出(元),地区生产总值(亿元),地区生产总值指数(上年=100),医疗卫生机构床位数(万张),医疗卫生机构数(个),地方财政医疗卫生支出(亿元),医院病床使用率(%),每万人拥有卫生技术人员数(人),每万人医疗机构床位数(张),年末常住人口(万人),人口自然增长率(‰),人口死亡率(‰)
江西省,2019年,12.59,1148.5,17650.0,24724.0,107.9,26.71,37029.0,630.99,84.8,57.0,57.25,4516.0,6.56,6.03
山东省,2019年,11.77,2156.14,20427.0,72024.3,105.4,62.97,83616.0,912.07,80.7,78.0,62.53,10106.0,4.27,7.5
河南省,2019年,11.02,1810.71,16332.0,53739.3,106.8,64.01,70734.0,986.78,88.1,68.0,66.41,9901.0,4.18,6.84
湖北省,2019年,11.35,1147.1,21567.0,45557.0,107.3,40.33,35515.0,601.82,92.3,70.0,68.04,5927.0,4.27,7.08
湖南省,2019年,10.39,1270.02,20479.0,39930.7,107.6,50.63,57230.0,661.58,83.7,73.0,73.19,6640.0,3.11,7.28
广东省,2019年,12.54,3210.51,28995.0,110468.1,106.3,54.52,53900.0,1579.6,82.2,69.0,47.32,12489.0,8.08,4.46
广西壮族自治区,2019年,13.31,1014.52,16418.0,21341.5,106.0,27.74,33679.0,565.29,90.0,69.0,55.92,4982.0,7.17,6.14
海南省,2019年,12.87,273.5,19555.0,5442.1,105.9,4.98,5417.0,169.8,78.4,72.0,52.68,995.0,6.76,6.11
重庆市,2019年,10.48,728.26,20774.0,23689.6,106.3,23.18,21057.0,383.26,82.2,72.0,74.19,3188.0,2.91,7.57
四川省,2019年,10.7,1578.88,19338.0,47168.6,107.4,63.18,83756.0,943.27,89.4,72.0,75.43,8351.0,3.61,7.09
贵州省,2019年,13.65,1067.62,14780.0,17251.8,108.4,26.5,28511.0,534.78,81.5,74.0,73.14,3848.0,6.7,6.95
云南省,2019年,12.63,1069.85,15780.0,23902.1,108.3,31.19,25587.0,608.5,83.8,70.0,64.2,4714.0,6.43,6.2
西藏自治区,2019年,14.6,263.26,13029.0,1750.3,108.3,1.71,6940.0,123.05,64.8,60.0,48.67,361.0,10.14,4.46
陕西省,2019年,10.55,951.23,17465.0,26214.5,106.1,26.58,35404.0,466.29,81.7,91.0,68.58,3944.0,4.27,6.28
